Category,dbID,siteID,SiteName,SubTitle,Lat,Lon,Desc,Sview,Sviewlat,Sviewlong,Heading,Zoom,Pitch,top,mapzoom,sponsor,Categ,image
Fossils,1,c1,Limestone Islands, Giant Squids in Georgian Bay,45.39,-80.532,"The [Limestone] Islands are located off the eastern shore of Georgian Bay, near Franklin Island at the mouth of Parry Sound. They are remnants of [Paleozoic] [Limestone] that once covered much of the Canadian [Shield]. Samuel de Champlain visited this area in 1615 and the Bay itself was named in 1820 after King George IV.",n,,,,,,n,14,,2,http://planetrocks.ca/wp-content/uploads/C1.png
Earth History,2,c2,Pancake Islands, Gneiss Banding Near Parry Sound,45.3405,-80.29283333,"The Pancake Islands are very aptly named, being flat low-lying islands just five minutes by boat from Killbear Provincial Park at the mouth of Parry Sound. The rocks here are banded [Gneiss] and look like stirred bread dough, kinked and contorted into beautiful folds. They provide a graphic illustration of the processes that occurred more than 1 billion years ago some 20 kilometres below the Grenville Mountains.",n,,,,,,n,15,,6,http://planetrocks.ca/wp-content/uploads/C2.png
Historic,3,c3,Depot Harbor, Ghost of The Great Lake,45.317,-80.09716667,"Ontario has many abandoned ghost towns which were once thriving lumbering and mining communities. One of the most impressive is Depot Harbour on Parry Island, just west of Parry Sound.",n,,,,,,n,15,,5,http://planetrocks.ca/wp-content/uploads/C3.png
Earth History,4,c4,Parry Sound Shear Zone,Hock Rocks at the Base of The Earth's Crust,45.382778,-80.039438,"During the Grenville [Orogeny], when early North America collided with South America, the intense collision shoved large pieces of the earth's[ Crust ]on top of each other, deforming, cooking, and stretching rocks into highly metamorphosed [Gneiss] (See Site [C11]). Highway 400 near Parry Sound traverses the contact between one slab and another, exposing what is known as the ""Parry Sound Shear Zone.""",y,,,291.64,0,-1.3,y,16,,6,http://planetrocks.ca/wp-content/uploads/C4.png
Rocks and Minerals,5,c5,Ontario's Anorthosites, Fly Me to the Moon,45.37,-80.025,"You don't need to go to the moon to see its rocks. In fact, you can see them right here in Ontario. [Anorthosite] is one of the rocks that formed on the moon very early in its history. Here on Earth, [Anorthosite] is rare but [Outcrops] of this distinctive rock occur near Parry Sound along Highway 400. You might never walk on the moon but you can hold a piece of [Anorthosite] and pretend you have.",y,45.369548,-80.024462,83,0,-8.97,n,15,,4,http://planetrocks.ca/wp-content/uploads/C5.png
Earth History,6,c6,"30,000 Islands", Gneiss Scenery in Georgian Bay,44.87133333,-79.81583333,"The Thirty Thousand Islands is the name given to the largest archipelago of freshwater islands in the world, extending over 250 kilometres of rock-strewn coastline on the eastern side of Georgian Bay between the French River in the north and Honey Harbour in the south. Strikingly beautiful [Outcrops] of complexly folded billion-year-old [Gneiss] dominate these remote rocky islands and their wind bent stands of white pines. The low-lying islands appear to dissolve into the sky and lake water, creating the surreal and eerie landscape immortalized by the Group of Seven. The area has been named a UNESCO World [Biosphere] Reserve for its aquatic and terrestrial habitats but its geology is no less worthy of global note as it records the deep roots of billion year old mountains that dwarfed the Himalayas. The 30,000 islands area is most easily accessible from Honey Harbor in the south and Parry Sound in the north.",n,,,,,,y,13,,6,http://planetrocks.ca/wp-content/uploads/C6.png
Earth History,7,c7,Dikes,Geology's Jackson Pollock ,45.346822,-80.005161,"The mighty Grenville Mountains are no more; all that remains are their deep roots exposed in the Central [Gneiss] Belt of central Ontario's [Shield] country. Thousands upon thousands of bright orange- coloured [Granite] dikes are a striking feature of these rocks. Take a drive up to the [Shield] and you'll notice them immediately. Other dikes are composed of dark coloured [Igneous rocks] such as [Diabase] ([N34], [N51]).",y,,,31.04,0,-7.55,n,15,,6,http://planetrocks.ca/wp-content/uploads/C7.png
Earth History,8,c8,The Great Gneiss Road, Seeing the Roots of the Grenville Mountains,45.250999,-79.831864,"Between Barrie and Parry Sound, the newly widened Highway 400/69 cuts a slice through the one billion year old Central [Gneiss] Belt - one of the geological wonders of the world. As you drive north, beautiful pink-coloured rock suddenly appears near Waubaushene, replacing the flat-lying white [Limestone] to the south. Here, bright orange dikes of [Granite] pierce beautifully striped grey, black, and often complexly folded [Gneiss]. Not only are the rocks visually impressive, they also provide a rare glimpse into geological forms and processes that occurred deep below the colossal mountain range that was here one billion years ago.",y,,,221.53,0,-2.2,n,16,,6,http://planetrocks.ca/wp-content/uploads/C8.png
Rocks and Minerals,9,c9,Bala,,45.012526,-79.614567,A plaque at the intersection of highways 38 and 169 in Bala (Site [C9]) commemorates the [Shield]'s significance. And the best way to truly appreciate the [Shield]'s flat [Topography] is from on high - especially from the viewing deck on top of the Dorset Lookout Tower (Site [C17]).,y,,,121.39,0,-0.24,n,16,,4,http://planetrocks.ca/wp-content/uploads/C9.png
Earth History,10,c10,Star Struck at Torrance Barrens,,44.944101,-79.52011,"Many city dwellers have never seen a truly starry night sky. The light pollution from urban areas obscures our natural view of stars, star clusters, nebulas, planets, galaxies, and the Northern Lights. The Ontario government created the world's first Dark Sky Reserve in 1991 at Torrance Barrens, on the wonderfully twisty Highway 13 some 10 kilometres west of Gravenhurst. Here, the night time view is truly spectacular.",n,,,,,,n,15,,6,http://planetrocks.ca/wp-content/uploads/C10.png
Historic,11,c11,Big Chute Marine Railway,,44.88466667,-79.675,Big Chute Marine Railway is an engineering marvel constructed where the Trent Seven Canal has to cross high ground. It was completed in 1917 and raise boats over a rock step 18 metres high. It is the only marine railway still in use in North America.,y,,,33.42,0,0.55,n,16,,5,http://planetrocks.ca/wp-content/uploads/C11.png
Nature,12,c12,Wye Marsh,,44.733978,-79.84441,"Wye Marsh is a large wetland near the town of Midland. The Wye River flows through it before it enters Georgian Bay. Wye Marsh is also a wildlife reserve that harbours many species, including the rare Trumpeter Swan. Visit the Wye Marsh Wildlife center on Highway 12 and walk through the wetland.",n,,,,,,n,16,,8,http://planetrocks.ca/wp-content/uploads/C12.png
Historic,13,c13,Sainte-Marie among the Hurons,,44.74583333,-79.85216667,"Close by is the reconstructed 17th-century village of Sainte- Marie among the Hurons which was the western terminus of the early fur trade. The original village, part of which was made of [Limestone] from Ontario's first quarry, was burned in 1649 by missionaries before they abandoned it to invading Iroquois warriors.",n,,,,,,n,16,,5,http://planetrocks.ca/wp-content/uploads/C13.png
Earth History,14,c14,World Class Wasaga Beach,,44.524678,-80.01946,"Ontario boasts the world's longest freshwater beach. Wasaga Beach at the southern end of Georgian Bay is 18 kilometres long and forms a wide gently sloping surface covered by shallow water with prominent offshore ridges (bars) parallel to the coastline. Inland of the modern beach is a great swath, some 7 kilometres wide, of old raised beach[ Sand ]deposits forming part of an ancient barrier island and lagoon complex now high and dry.",y,,,309.15,0,-17.62,n,16,,6,http://planetrocks.ca/wp-content/uploads/C14.png
Earth History,15,c15,Ardtrea, An Island in Glacial Lake Algonquin,44.691386,-79.428194,"Eleven thousand years ago, glacial Lake Algonquin was truly an enormous ""Great Lake"" ponded up in the Huron and Superior basins by the last great [Ice sheet] as it retreated north. Its prominent beaches and wave-cut bluffs are still preserved today. These old shorelines are nowhere better seen than 2 kilometres north of Orillia, just west of Lake Couchiching. The area formed a prominent Island in glacial Lake Algonquin as can be clearly in the satellite image. ",n,,,,,,n,14,,6,http://planetrocks.ca/wp-content/uploads/C15.png
